Index,p_calibrated_nps,p_calibrated_nps_cal
1,0.23844208982484444,0.25526506666350934
2,0.246605629724835,0.2567285080374613
3,0.23386133941775789,0.24946635343441698
4,0.24250050561675954,0.24922665872958907
5,0.23102958736143672,0.2509077508875949
6,0.23786614061048775,0.2497062019934829
7,0.23614404123899943,0.254049728107903
8,0.23046612441853243,0.2611516677931992
9,0.2628728204423532,0.2518717543297415
10,0.23102958736143672,0.2528382114175303
11,0.23102958736143672,0.2509077508875949
12,0.23272575270264356,0.2668746982653022
13,0.26348838543775677,0.25042667030774496
14,0.246605629724835,0.26288503173414757
15,0.286255971794883,0.2589339433372941
16,0.3135685585595535,0.25356466242722453
17,0.2430840970511949,0.5576551137357653
18,0.2407554533433066,0.30772797595108314
19,0.2585898490853164,0.2873910736252701
20,0.27032041833661874,0.2673761053010772
21,0.2604198305503043,0.2793299582018235
22,0.23272575270264356,0.2545354052892549
23,0.23329306534994154,0.24946635343441698
24,0.3183711072091736,0.2547784730557208
25,0.25495509505084873,0.24922665872958907
26,0.23159401331169704,0.25356466242722453
27,0.23614404123899943,0.24994620435810794
28,0.2628728204423532,0.2518717543297415
29,0.2321594018891565,0.2545354052892549
30,0.2395968593203726,0.25967182156492913
31,0.2954214932005034,0.26090464848983624
32,0.23844208982484444,0.2604110636122129
33,0.23159401331169704,0.25018636047929826
34,0.2299036248521578,0.24922665872958907
35,0.2448405848988441,0.3134864028369528
36,0.3000676028717521,0.2547784730557208
37,0.2901631739899459,0.2562400846086791
38,0.2555585472494583,0.2509077508875949
39,0.2299036248521578,0.2557522706650723
40,0.2954214932005034,0.26787811016863244
41,0.23272575270264356,0.2574622849532736
42,0.2604198305503043,0.2497062019934829
43,0.2604198305503043,0.2594257105377026
44,0.4597598372812023,0.2567285080374613
45,0.3508634218859085,0.263630163845688
46,0.25016131760801674,0.24946635343441698
47,0.23159401331169704,0.2497062019934829
48,0.2778994698104227,0.267125327018197
49,0.2321594018891565,0.24946635343441698
50,0.2299036248521578,0.25114852153880235
51,0.23671711582024138,0.2562400846086791
52,0.26595988508347007,0.25114852153880235
53,0.23102958736143672,0.25550859239318185
54,0.24250050561675954,0.2506671337938237
55,0.2321594018891565,0.25550859239318185
56,0.23046612441853243,0.2819151496959549
57,0.23046612441853243,0.25991808412788864
58,0.2791752794288398,0.27166214318569587
59,0.2299036248521578,0.2653740698655859
60,0.23102958736143672,0.31541883997452197
61,0.23729114910795968,0.3970872139940298
62,0.3408098261212471,0.25259636729801954
63,0.24837921359123974,0.2567285080374613
64,0.24366864115675133,0.27675933639707834
65,0.23102958736143672,0.2497062019934829
66,0.28238045234101905,0.25819743058894706
67,0.23102958736143672,0.26462578004796306
68,0.25016131760801674,0.2567285080374613
