Index,p_calibrated_nts_test,p_calibrated_nts_cal
1,0.23230695564258316,0.258580978198352
2,0.24496976685071792,0.2608982613647495
3,0.22527902463394064,0.24944677822995878
4,0.23858067892346504,0.2490708991928844
5,0.22096378936700875,0.2517099949988411
6,0.23142016460277465,0.24982303580020765
7,0.22877400886765764,0.25666017753009296
8,0.2201078840269772,0.2679302530145765
9,0.2706776292698632,0.25322635625875006
10,0.22096378936700875,0.25474874253769414
11,0.22096378936700875,0.2517099949988411
12,0.2235457920475416,0.27708850864024254
13,0.27166168119623496,0.250954077819481
14,0.24496976685071792,0.27069714300737346
15,0.3085385530180986,0.2643992823212049
16,0.3536993605658897,0.2558944780925191
17,0.23948635890977912,0.7289801855066896
18,0.23587777476362298,0.34398216306752494
19,0.26385236029121617,0.31039855834607705
20,0.28263304807296163,0.2778939418226887
21,0.26676391226307167,0.29722961518537266
22,0.2235457920475416,0.2574273754894475
23,0.22441121918610818,0.24944677822995878
24,0.3617068015055013,0.257811535851738
25,0.2580907640507457,0.2490708991928844
26,0.22182207631378137,0.2558944780925191
27,0.22877400886765764,0.2501996717155326
28,0.2706776292698632,0.25322635625875006
29,0.22268274413810293,0.2574273754894475
30,0.23408763746252956,0.2655729543315988
31,0.32360508673057886,0.26753644999367554
32,0.23230695564258316,0.2667499470119521
33,0.22182207631378137,0.2505766857859283
34,0.21925436095995823,0.2490708991928844
35,0.2422175059413506,0.35356250528330996
36,0.33128044428426867,0.257811535851738
37,0.31494826101272155,0.26012434285451563
38,0.2590453094909276,0.2517099949988411
39,0.21925436095995823,0.25935191449392614
40,0.32360508673057886,0.2787008136194777
41,0.2235457920475416,0.26206192889329016
42,0.26676391226307167,0.24982303580020765
43,0.26676391226307167,0.26518136100661704
44,0.5922044781441362,0.2608982613647495
45,0.416070583671551,0.27188843826676373
46,0.2505373653320166,0.24944677822995878
47,0.22182207631378137,0.24982303580020765
48,0.2949030003496858,0.277491045239034
49,0.22268274413810293,0.24944677822995878
50,0.21925436095995823,0.2520885197512532
51,0.2296536898065318,0.26012434285451563
52,0.2756202435981465,0.2520885197512532
53,0.22096378936700875,0.2589662597195299
54,0.23858067892346504,0.251331847622365
55,0.22268274413810293,0.2589662597195299
56,0.2201078840269772,0.301442414074474
57,0.2201078840269772,0.2659649166212395
58,0.2969778814363093,0.2847979329827316
59,0.21925436095995823,0.27468086699544353
60,0.22096378936700875,0.3567827295828311
61,0.23053574217677786,0.4927659510375787
62,0.3992400446200607,0.25436758184957825
63,0.24774307682698293,0.2608982613647495
64,0.24039439150037012,0.29305099320680184
65,0.22096378936700875,0.24982303580020765
66,0.3022017475439847,0.26322893816681725
67,0.22096378936700875,0.27348193213675487
68,0.2505373653320166,0.2608982613647495
69,0.24496976685071792,0.27228626588985183
70,0.2331961137876532,0.25973794228506736
71,0.3268832116102221,0.25284670058366543
72,0.32797970872993926,0.26479013691443637
73,0.26288638612332504,0.2490708991928844
74,0.22441121918610818,0.25551219087514554
75,0.3011528108191841,0.2589662597195299
76,0.23142016460277465,0.270300774785064
77,0.2756202435981465,0.2699047721535483
78,0.2235457920475416,0.2667499470119521
79,0.22182207631378137,0.2778939418226887
80,0.27462725916542347,0.2517099949988411
81,0.24496976685071792,0.2536063884999349
82,0.23142016460277465,0.25436758184957825
83,0.23142016460277465,0.24982303580020765
84,0.24039439150037012,0.24944677822995878
85,0.23948635890977912,0.26012434285451563
86,0.2201078840269772,0.324322082233611
87,0.22182207631378137,0.24944677822995878
88,0.22096378936700875,0.2490708991928844
89,0.3379317057985118,0.26518136100661704
90,0.2687162638265245,0.27348193213675487
91,0.24774307682698293,0.2574273754894475
